 INDX YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC   ANN
 MZ4  1985     8  -5 -10 -10 -12  -5  -1  -3  -6  -9  -7  -2   -5.2
 MZ4  1986     5   5  -1   9   3   5   4  -6  -2   5   1  -3    2.1
 MZ4  1987     6   6   1   5   3   6  -5   0  12   2  -5   3    2.8
 MZ4  1988     1   3  -2  -6   4   4   3   4   1  13   4  -5    2.0
 MZ4  1989   -11   4   5   1  -5  -2  -2 -15 -23   6  -7   4   -3.8
 MZ4  1990     4   2   0  11  12   1   1   4  -4  -1   1   4    2.9
 MZ4  1991    10   6  -4   8   2   1   3  11   9   4   1   3    4.5
 MZ4  1992     1   4   8  -5   2   4   3  12  -4 -13  -8  -5   -0.1
 MZ4  1993     6  -6   1   0   3  10  -4  -5  -2   4   0   2    0.8
 MZ4  1994     2  -5   2   2  12   3   8   6  11  -5  11  -3    3.7
 MZ4  1995    -4   1   5  -4  -4   4  13   2   6   3   4  -3    1.9
 MZ4  1996    -9  -2   1   6  -4   0  -2   3  -3  -2   9  -1   -0.3
 MZ4  1997    -3   1  -2   5  -4  -9  -4  -1 -12   3  10   2   -1.2
 MZ4  1998     4   6   3   1  -1  -4   1  -8   3  14 -13   0    0.5
 MZ4  1999    -8  -7  -1  -5   1  -1   4   2  -3  -3  -5  -2   -2.3
 MZ4  2000     1   1  -3   4  -1   2 -12  -1   3   5  -7   1   -0.6
 MZ4  2001     2  -6  -1  -4  -2  -3  -6   2 -10  -1  -5  -5   -3.3
 MZ4  2002     1  -1   4   0   8   7  -1   1   9   3   2   2    2.9
 MZ4  2003    -4  -5  -8  -8   0   6  -2 -15   7  -2   6   2   -1.9
 MZ4  2004    -1  14   0   0  -4  10  -1   4   7   2   1  17    4.1
 MZ4  2005     3   1   1  -1  -1  -3   2  -7  -3  -7  -8  -1   -2.0
 MZ4  2006    -2   0  -3   5  -5  -5  -1   1  -4  -1  11  -1   -0.4
 MZ4  2007    -2  -7   2  -1   5   0  -5   4 -10   9  -5 -10   -1.7
 MZ4  2008    -4   1  -3  -2 -13   1   9   7  -4   2  -4  -2   -1.0
 MZ4  2009    -2   1  -4  -6   0 -16   0  -1  -4  -5   6   1   -2.5
