time,time,event_duration,event_start,event_end
1993-07-30,16647,6,1993-07-30,1993-08-04
1993-11-06,16746,5,1993-11-06,1993-11-10
1993-12-18,16788,5,1993-12-18,1993-12-22
1994-03-01,16861,7,1994-03-01,1994-03-07
1994-05-09,16930,8,1994-05-09,1994-05-16
1994-07-31,17013,6,1994-07-31,1994-08-05
1994-09-16,17060,12,1994-09-16,1994-09-27
1994-10-07,17081,7,1994-10-07,1994-10-13
1995-02-04,17201,9,1995-02-04,1995-02-12
1995-03-31,17256,12,1995-03-31,1995-04-11
1995-04-19,17275,15,1995-04-19,1995-05-03
1995-05-28,17314,7,1995-05-28,1995-06-03
1995-08-28,17406,9,1995-08-28,1995-09-05
1995-12-18,17518,9,1995-12-18,1995-12-26
1996-02-12,17574,5,1996-02-12,1996-02-16
1996-02-29,17591,5,1996-02-29,1996-03-04
1996-03-16,17607,5,1996-03-16,1996-03-20
1996-04-03,17625,6,1996-04-03,1996-04-08
1996-06-01,17684,11,1996-06-01,1996-06-11
1996-07-21,17734,9,1996-07-21,1996-07-29
1996-08-08,17752,14,1996-08-08,1996-08-21
1996-09-10,17785,5,1996-09-10,1996-09-14
1996-10-28,17833,10,1996-10-28,1996-11-06
1996-11-15,17851,6,1996-11-15,1996-11-20
1997-01-06,17903,9,1997-01-06,1997-01-14
1997-02-25,17953,7,1997-02-25,1997-03-03
1997-03-24,17980,9,1997-03-24,1997-04-01
1997-04-04,17991,13,1997-04-04,1997-04-16
1997-04-20,18007,5,1997-04-20,1997-04-24
1997-07-18,18096,5,1997-07-18,1997-07-22
1997-08-21,18130,8,1997-08-21,1997-08-28
1998-02-25,18318,5,1998-02-25,1998-03-01
1999-02-18,18676,7,1999-02-18,1999-02-24
1999-03-07,18693,11,1999-03-07,1999-03-17
1999-07-21,18829,14,1999-07-21,1999-08-03
1999-09-16,18886,6,1999-09-16,1999-09-21
1999-12-09,18970,6,1999-12-09,1999-12-14
1999-12-25,18986,8,1999-12-25,2000-01-01
2000-01-21,19013,6,2000-01-21,2000-01-26
2000-04-19,19102,5,2000-04-19,2000-04-23
2000-05-31,19144,6,2000-05-31,2000-06-05
2000-08-29,19234,5,2000-08-29,2000-09-02
2000-10-14,19280,5,2000-10-14,2000-10-18
2001-02-26,19415,6,2001-02-26,2001-03-03
2001-08-11,19581,20,2001-08-11,2001-08-30
2001-10-12,19643,10,2001-10-12,2001-10-21
2001-11-29,19691,6,2001-11-29,2001-12-04
2001-12-09,19701,10,2001-12-09,2001-12-18
2001-12-20,19712,10,2001-12-20,2001-12-29
2002-12-08,20065,6,2002-12-08,2002-12-13
2003-02-27,20146,9,2003-02-27,2003-03-07
2003-06-14,20253,6,2003-06-14,2003-06-19
2003-07-25,20294,5,2003-07-25,2003-07-29
2003-08-06,20306,15,2003-08-06,2003-08-20
2003-08-26,20326,13,2003-08-26,2003-09-07
2003-10-21,20382,10,2003-10-21,2003-10-30
2004-01-16,20469,10,2004-01-16,2004-01-25
2004-03-17,20530,5,2004-03-17,2004-03-21
2004-05-02,20576,5,2004-05-02,2004-05-06
2004-06-29,20634,8,2004-06-29,2004-07-06
2004-07-26,20661,6,2004-07-26,2004-07-31
2004-09-13,20710,5,2004-09-13,2004-09-17
2004-11-23,20781,6,2004-11-23,2004-11-28
2005-05-26,20965,12,2005-05-26,2005-06-06
2005-07-27,21027,20,2005-07-27,2005-08-15
2005-10-05,21097,6,2005-10-05,2005-10-10
2006-03-31,21274,10,2006-03-31,2006-04-09
