time,SOI
1998-05-01,1.0904983
1998-06-01,1.5216976
1998-07-01,1.9535247
1998-08-01,2.0682578
1998-09-01,2.5236814
1998-10-01,2.6350908
1998-11-01,2.52634
1998-12-01,3.01714
1999-01-01,3.775367
1999-02-01,3.084643
1999-03-01,2.7570245
1999-04-01,2.2150066
1999-05-01,1.0656093
1999-06-01,0.82377285
1999-07-01,1.0721085
1999-08-01,1.2071145
1999-09-01,1.5020155
1999-10-01,2.400529
1999-11-01,2.5453207
1999-12-01,3.0099392
2000-01-01,2.7825782
2000-02-01,3.6443121
2000-03-01,2.8434713
2000-04-01,2.1586556
2000-05-01,1.04397
2000-06-01,0.34995943
2000-07-01,0.41354814
2000-08-01,1.4849919
2000-09-01,2.2720592
2000-10-01,2.454886
2000-11-01,3.3232298
2000-12-01,2.5105722
2001-01-01,3.1312082
2001-02-01,3.5394757
2001-03-01,2.3592074
2001-04-01,1.2405336
2001-05-01,0.38862225
2001-06-01,0.8919036
2001-07-01,0.45221096
2001-08-01,0.4849285
2001-09-01,1.6009804
2001-10-01,1.5878712
2001-11-01,2.3559577
2001-12-01,1.0747304
2002-01-01,2.6652234
2002-02-01,3.0223837
2002-03-01,1.5203682
2002-04-01,1.1193016
2002-05-01,0.12189681
2002-06-01,0.45346648
2002-07-01,0.2097098
2002-08-01,0.06617361
2002-09-01,0.9902408
2002-10-01,1.2457774
2002-11-01,1.3126526
2002-12-01,0.92927396
2003-01-01,2.146248
2003-02-01,1.6095107
2003-03-01,1.3886487
2003-04-01,0.9902039
2003-05-01,0.65206116
2003-06-01,0.12909763
2003-07-01,1.0006912
2003-08-01,1.0557498
2003-09-01,1.388021
2003-10-01,1.6651969
2003-11-01,1.5884991
2003-12-01,2.86644
2004-01-01,1.1599584
2004-02-01,3.3002613
2004-03-01,2.076751
2004-04-01,0.3977802
2004-05-01,1.7359864
2004-06-01,-0.090434805
2004-07-01,0.25099444
2004-08-01,0.63304365
2004-09-01,1.2339975
2004-10-01,1.631113
2004-11-01,1.1822256
2004-12-01,1.2569294
2005-01-01,2.6626384
2005-02-01,-0.3676476
2005-03-01,2.1291876
2005-04-01,0.68285847
2005-05-01,0.38533574
2005-06-01,1.1416056
2005-07-01,0.90106153
2005-08-01,0.71827173
2005-09-01,1.8689983
2005-10-01,2.7013013
2005-11-01,1.6573313
2005-12-01,1.9738717
2006-01-01,3.7262168
2006-02-01,2.458837
2006-03-01,3.257647
2006-04-01,2.0911896
2006-05-01,0.53802985
2006-06-01,0.48230666
2006-07-01,0.25561035
2006-08-01,0.20771572
2006-09-01,1.1678239
2006-10-01,0.69729704
2006-11-01,1.9535617
2006-12-01,1.7294134
2007-01-01,1.7208831
2007-02-01,2.2196224
2007-03-01,1.9987975
2007-04-01,1.1403131
2007-05-01,0.9227009
2007-06-01,1.1606231
2007-07-01,0.49283093
2007-08-01,1.3696313
2007-09-01,1.642302
2007-10-01,2.3120513
