,CEI
1986-04-01,-0.584146959609647
1986-05-01,-0.7312127137068988
1986-06-01,-1.0198305877534324
1986-07-01,-0.859782274072947
1986-08-01,-0.6591323542310388
1986-09-01,0.2790682468449543
1986-10-01,0.4377286552821178
1986-11-01,1.0511725915136798
1986-12-01,1.6117455664824467
1987-01-01,2.269221553672328
1987-02-01,2.2596521535939127
1987-03-01,2.25964868402272
1987-04-01,2.5640455010940153
1987-05-01,2.8418816985800497
1987-06-01,3.0248789865429333
1987-07-01,3.209624640382419
1987-08-01,3.0433831917856202
1987-09-01,3.0432708963180546
1987-10-01,2.5957316666119343
1987-11-01,2.262777609902035
1987-12-01,1.8985432264935265
1988-01-01,1.614025221698157
1988-02-01,1.341746286250545
1988-03-01,0.6982980047033904
1988-04-01,0.2724047751247467
1988-05-01,-0.8222884694235015
1988-06-01,-1.1886444445847832
1988-07-01,-2.0847613434450847
1988-08-01,-2.5656720435021123
1988-09-01,-3.45144498595842
1988-10-01,-3.6978916807723436
1988-11-01,-3.8405667406070743
1988-12-01,-3.5903943209096116
1989-01-01,-3.663277559726278
1989-02-01,-3.3810897097108605
1989-03-01,-3.1902003505464838
1989-04-01,-3.177621496386017
1989-05-01,-3.2457709396877803
1989-06-01,-2.955648665215505
1989-07-01,-2.4530836184773643
1989-08-01,-1.502564973866575
1989-09-01,-1.1015578521108016
1989-10-01,-0.9006443073898438
1989-11-01,-0.9275306451941753
1989-12-01,-0.47466097898166837
1990-01-01,-0.016819160555127166
1990-02-01,0.5016587579813065
1990-03-01,0.5938925389570469
1990-04-01,0.627047422198028
1990-05-01,-0.38652132851989157
1990-06-01,-0.7211242972387018
1990-07-01,-0.9082906655560258
1990-08-01,-0.18594478172746223
1990-09-01,0.2900212184995844
1990-10-01,0.4456133391682055
1990-11-01,0.59411946031189
1990-12-01,0.43424156838467265
1991-01-01,0.42240397897417903
1991-02-01,0.1877339725842069
1991-03-01,0.30069385104897606
1991-04-01,0.7872723931539507
1991-05-01,1.4719572270090455
1991-06-01,1.349358511911405
1991-07-01,1.2357398045984684
1991-08-01,0.9355143114191538
1991-09-01,1.5060846401586818
1991-10-01,2.005253892140728
1991-11-01,2.240182203911621
1991-12-01,2.4246531920458745
