,Year,Month,soi3m,nino5m,CEI,category,code
2000-07-01,2000,7,0.08870852919951004,-0.8699548837412894,-0.9586634129407994,NINO3.4 NINA,-1.0
2000-08-01,2000,8,0.14027577767003338,-0.7586519483603311,-0.8989277260303645,NINO3.4 NINA,-1.0
2000-09-01,2000,9,0.5578865454208946,-0.7037099186432425,-1.261596464064137,NINO3.4 NINA,-1.0
2000-10-01,2000,10,1.0689774790526572,-0.6826632587659639,-1.751640737818621,CEI NINA,-3.0
2000-11-01,2000,11,1.525156964453926,-0.6960637538189115,-2.2212207182728374,CEI NINA,-3.0
2000-12-01,2000,12,1.462572513772663,-0.7746537159823769,-2.23722622975504,CEI NINA,-3.0
2001-01-01,2001,1,1.3603701652301388,-0.8404737946248013,-2.2008439598549403,CEI NINA,-3.0
2001-02-01,2001,2,1.010982889394496,-0.8627816775658859,-1.873764566960382,CEI NINA,-3.0
2001-03-01,2001,3,1.095320261299004,-0.8111503583912926,-1.9064706196902965,CEI NINA,-3.0
2001-04-01,2001,4,0.8978650071703719,-0.7335851399671733,-1.6314501471375453,NINO3.4 NINA,-1.0
2001-05-01,2001,5,0.25991327531474034,-0.5753804719009,-0.8352937472156403,NINO3.4 NINA,-1.0
2001-06-01,2001,6,0.10686506390781197,-0.4118944322549314,-0.5187594961627433,Neutral,0.0
2001-07-01,2001,7,-0.10456826705279403,-0.2480142604015244,-0.14344599334873037,Neutral,0.0
2001-08-01,2001,8,-0.09722072662403092,-0.15326487773303135,-0.056044151109000434,Neutral,0.0
2001-09-01,2001,9,-0.27189435007501545,-0.11251160748376979,0.15938274259124566,Neutral,0.0
2001-10-01,2001,10,-0.17571332327381015,-0.08673536111721551,0.08897796215659463,Neutral,0.0
2001-11-01,2001,11,0.2817897733398105,-0.14506692781828337,-0.4268567011580938,Neutral,0.0
2001-12-01,2001,12,-0.0802951125410755,-0.24966961567276538,-0.1693745031316899,Neutral,0.0
2002-01-01,2002,1,0.039218243985206576,-0.28001779564562096,-0.31923603963082753,Neutral,0.0
2002-02-01,2002,2,0.08380716086558908,-0.23847626098148247,-0.32228342184707154,Neutral,0.0
2002-03-01,2002,3,0.3577836396885689,-0.20103370127471717,-0.5588173409632861,Neutral,0.0
2002-04-01,2002,4,0.2366740418891911,-0.09982055040421775,-0.33649459229340883,Neutral,0.0
2002-05-01,2002,5,-0.4825871318295751,0.0891264298423471,0.5717135616719222,Neutral,0.0
2002-06-01,2002,6,-0.5379334097286679,0.32828585331672827,0.8662192630453962,Neutral,0.0
2002-07-01,2002,7,-0.7916081274033951,0.5370970968182556,1.3287052242216508,NINO3.4 NINO,1.0
2002-08-01,2002,8,-0.7887256870309596,0.7335325890061779,1.5222582760371375,NINO3.4 NINO,1.0
2002-09-01,2002,9,-0.973094838111135,0.9587397323371943,1.9318345704483293,NINO3.4 NINO,1.0
2002-10-01,2002,10,-0.9143601508198891,1.1618754720515914,2.0762356228714802,NINO3.4 NINO,1.0
2002-11-01,2002,11,-0.6969080479616806,1.3258344703464853,2.0227425183081658,NINO3.4 NINO,1.0
2002-12-01,2002,12,-0.7862117658812503,1.4577111069557918,2.243922872837042,NINO3.4 NINO,1.0
2003-01-01,2003,1,-0.6311573058331926,1.3895262350687299,2.0206835409019224,NINO3.4 NINO,1.0
2003-02-01,2003,2,-0.5891628635508313,1.286815381809957,1.8759782453607883,NINO3.4 NINO,1.0
2003-03-01,2003,3,-0.3168478405495984,1.0806842373190195,1.397532077868618,NINO3.4 NINO,1.0
2003-04-01,2003,4,-0.3237016883871573,0.7089387392619398,1.0326404276490972,NINO3.4 NINO,1.0
2003-05-01,2003,5,-0.31626001987671465,0.259391543456275,0.5756515633329897,Neutral,0.0
2003-06-01,2003,6,-0.5694048206045749,0.08234735587438778,0.6517521764789627,Neutral,0.0
2003-07-01,2003,7,-0.352100301048652,0.005018616774730026,0.357118917823382,Neutral,0.0
2003-08-01,2003,8,-0.14279580391672944,-0.02793083576722285,0.11486496814950659,Neutral,0.0
2003-09-01,2003,9,0.12403199335177698,0.041199953417692815,-0.08283203993408417,Neutral,0.0
2003-10-01,2003,10,-0.04493686675806743,0.26798362557846817,0.31292049233653557,Neutral,0.0
2003-11-01,2003,11,-0.21280993196125128,0.4012003116930692,0.6140102436543204,Neutral,0.0
2003-12-01,2003,12,0.2167467334828761,0.4361204252722227,0.21937369178934663,Neutral,0.0
2004-01-01,2004,1,-0.14672541439524656,0.43178497099038377,0.5785103853856304,Neutral,0.0
2004-02-01,2004,2,0.3041710660156159,0.4260306407617646,0.12185957474614872,Neutral,0.0
2004-03-01,2004,3,0.10664927425382524,0.3546927112151867,0.24804343696136144,Neutral,0.0
2004-04-01,2004,4,0.1413492536478674,0.2998295079395853,0.1584802542917179,Neutral,0.0
2004-05-01,2004,5,0.4283587862649201,0.23337881776525835,-0.19497996849966173,Neutral,0.0
2004-06-01,2004,6,-0.1659423772083037,0.2360589167758504,0.4020012939841541,Neutral,0.0
