time,WEST,EAST,IOD
1884-09-01,-0.067490436,0.046405442,-0.11389588
1884-10-01,0.7259949,0.039362106,0.68663275
1884-11-01,0.49469128,-0.3250154,0.8197067
1884-12-01,-0.24131675,-0.65106285,0.4097461
1885-01-01,-0.3846033,0.3660398,-0.75064313
1885-02-01,-0.48907533,-0.5611971,0.07212177
1885-03-01,-0.14712864,-0.8280422,0.68091357
1885-04-01,-0.46138462,-0.6989014,0.23751679
1885-05-01,-0.4185643,-0.5189213,0.100357026
1885-06-01,-0.7541151,-0.8918306,0.13771552
1885-07-01,-0.4954072,-0.9635171,0.46810994
1885-08-01,-0.47082332,-1.7643269,1.2935036
1885-09-01,-0.40381202,-2.2352037,1.8313917
1885-10-01,-0.44959885,-1.061195,0.61159617
1885-11-01,-0.762796,0.20999826,-0.97279423
1885-12-01,-0.44442856,0.8425631,-1.2869916
1886-01-01,-0.33542544,0.5250846,-0.86051005
1886-02-01,-0.699987,0.636037,-1.336024
1886-03-01,0.21655212,0.8509627,-0.63441056
1886-04-01,0.2280455,0.026459709,0.20158578
1886-05-01,-1.0685003,0.0041564,-1.0726566
1886-06-01,-1.1223239,-0.25450632,-0.8678175
1886-07-01,-1.2939961,-0.027394403,-1.2666017
1886-08-01,-1.2591488,0.32144096,-1.5805898
1886-09-01,-1.3433955,0.528227,-1.8716224
1886-10-01,-2.0496747,0.020220166,-2.069895
1886-11-01,-0.7116109,0.2626493,-0.9742602
1886-12-01,-0.73434263,-0.32943696,-0.40490568
1887-01-01,-0.21905406,0.5678548,-0.78690886
1887-02-01,-0.5885837,-0.22741325,-0.36117047
1887-03-01,-0.89547765,-1.3302553,0.43477762
1887-04-01,-1.2192382,-1.5012064,0.28196824
1887-05-01,-1.7395387,-1.6091895,-0.13034916
1887-06-01,-1.7767161,-1.7739217,-0.002794385
1887-07-01,-1.5113053,-1.2057058,-0.30559957
1887-08-01,-0.5449228,-0.93464994,0.38972712
1887-09-01,-0.50605327,-1.3189365,0.8128832
1887-10-01,-0.3521277,-0.6779785,0.3258508
1887-11-01,-0.27587456,-0.46898574,0.19311118
1887-12-01,0.07304128,-0.6112259,0.68426716
1888-01-01,-0.90887773,-0.8271777,-0.08170003
1888-02-01,0.240585,0.16048363,0.08010137
1888-03-01,-0.41434717,-0.031180961,-0.38316622
1888-04-01,-0.8230995,-0.189492,-0.6336075
1888-05-01,-0.70856106,-0.094472155,-0.6140889
1888-06-01,-0.90005434,-0.16783544,-0.73221886
1888-07-01,-0.45462543,-0.075808786,-0.37881663
1888-08-01,-0.24793755,0.25642726,-0.5043648
