,Auckland,Masterton,Wellington,Nelson,Hokitika,Lincoln,Dunedin
1960-10-01,0.45,0.61,1.0,0.82,1.32,-0.12,0.46
1960-11-01,-0.1,-1.17,-0.15,0.2,1.13,0.01,-0.69
1960-12-01,-1.68,-2.38,-1.36,1.35,1.26,-1.68,-0.43
1961-01-01,-1.76,-2.0,0.09,0.23,1.5,-1.58,-0.87
1961-02-01,-1.59,-0.45,-0.29,-0.66,-0.36,0.82,0.18
1961-03-01,-1.01,-2.08,-1.56,-0.97,-0.53,-2.08,-1.33
1961-04-01,-0.64,-0.52,-0.14,-0.46,-0.0,0.19,0.22
1961-05-01,-0.51,-1.1,-0.93,-0.23,0.45,-1.93,-0.96
1961-06-01,-0.35,-0.72,-0.4,-0.69,-0.15,-0.28,-0.46
1961-07-01,-0.92,-0.92,-0.54,-0.85,-0.58,-0.13,-0.87
1961-08-01,-1.24,-1.81,-1.36,-0.5,0.57,-1.39,-0.95
1961-09-01,-0.54,-2.0,-1.19,-0.5,0.42,-2.28,-1.53
1961-10-01,0.75,3.41,2.3,1.62,1.12,4.18,2.43
1961-11-01,0.3,0.63,0.25,1.0,0.13,2.21,0.91
1961-12-01,1.62,3.02,2.24,1.45,1.76,1.72,1.57
1962-01-01,1.64,1.0,1.29,1.23,1.6,1.82,0.93
1962-02-01,0.71,-0.25,-0.29,0.54,0.14,-0.88,-1.12
1962-03-01,-0.11,-0.08,0.64,0.23,0.97,-0.78,0.17
1962-04-01,0.16,-0.82,0.26,-0.06,0.9,-1.61,-1.08
1962-05-01,0.89,1.7,1.77,1.17,1.25,1.07,0.94
1962-06-01,-0.05,0.28,0.9,0.41,1.15,0.22,0.24
1962-07-01,0.18,0.08,0.36,0.05,0.82,0.77,0.73
1962-08-01,0.06,0.19,0.04,-0.7,0.47,0.31,0.45
1962-09-01,-0.34,-0.3,0.01,-0.1,0.02,-0.48,0.37
1962-10-01,0.95,1.81,1.8,0.22,1.32,1.28,0.63
1962-11-01,0.2,1.23,1.25,-0.1,0.33,0.91,0.41
1962-12-01,-0.68,0.12,0.54,0.95,1.36,0.32,0.97
1963-01-01,-0.46,-0.1,0.09,0.93,0.7,1.22,1.13
1963-02-01,-0.39,0.65,0.61,-0.06,0.14,0.82,0.58
1963-03-01,-0.31,-0.98,0.04,-1.07,-0.83,-0.88,-0.53
1963-04-01,-0.84,-1.12,-1.14,-0.76,-0.6,-1.71,-0.98
1963-05-01,-0.71,-0.6,-0.23,-0.63,-0.55,0.17,0.54
1963-06-01,-0.65,-1.62,-1.0,-0.99,0.15,-1.98,-1.76
1963-07-01,-0.12,-1.42,-1.04,-0.45,1.32,-1.83,-2.17
1963-08-01,-0.74,-1.71,-1.46,-0.9,-0.73,-1.89,-1.65
1963-09-01,0.16,-0.9,-0.79,-0.4,0.12,-1.78,-0.93
1963-10-01,0.45,1.91,0.9,1.12,0.42,0.78,1.03
1963-11-01,-0.6,-1.27,-0.65,-0.5,-0.37,-0.59,-0.69
1963-12-01,-0.98,-1.48,-0.06,0.55,-1.34,-0.28,-0.53
1964-01-01,-1.56,-1.6,-1.51,-2.27,-2.67,0.42,-0.77
1964-02-01,-0.29,1.05,0.21,-0.36,0.37,-0.58,-0.82
1964-03-01,-1.01,0.62,-0.56,-1.07,-1.2,0.92,0.07
1964-04-01,-0.54,-0.32,-1.03,-0.96,-0.67,-0.91,-0.78
1964-05-01,-1.41,-1.2,-0.73,-1.23,-0.62,-0.71,-0.66
1964-06-01,-0.65,-1.42,-1.0,-0.89,-0.42,-1.46,-1.06
1964-07-01,-0.12,0.18,0.36,-0.45,-0.35,0.59,0.23
1964-08-01,-0.74,-0.11,0.14,-0.5,-1.3,0.63,-0.35
